"","date","province","vaxPop","secondVaxPop","firstJabs","secondJabs","jabs","eli_pop","pop","province2"
"19",2021-10-13,"bc",4118904.79170595,3849638.82588304,-830.797350397799,7115.92073578993,6285.12338539213,4577078,5174724,"BC"
"20",2021-10-14,"bc",4119711.85059024,3856673.57726139,807.05888428865,7034.75137834297,7841.81026263162,4577078,5174724,"BC"
"21",2021-10-15,"bc",4118941.87474328,3863571.62678377,-769.975846958812,6898.04952238733,6128.07367542852,4577078,5174724,"BC"
"22",2021-10-16,"bc",4119692.58117048,3870311.77205676,750.706427192781,6740.14527298976,7490.85170018254,4577078,5174724,"BC"
"23",2021-10-17,"bc",4118971.19371132,3876753.70893636,-721.387459159829,6441.93687959714,5720.54942043731,4577078,5174724,"BC"
"24",2021-10-18,"bc",4119676.48467867,3882792.4280115,705.290967354085,6038.71907513868,6744.01004249277,4577078,5174724,"BC"
"25",2021-10-19,"bc",4118995.15894733,3887846.47524882,-681.325731338467,5054.04723731894,4372.72150598047,4577078,5174724,"BC"
"26",2021-10-20,"bc",4119662.74740121,3891182.80765783,667.588453877252,3336.3324090126,4003.92086288985,4577078,5174724,"BC"
"27",2021-10-21,"bc",4119015.23974291,3888473.60300998,-647.507658300456,-2709.20464784745,-3356.71230614791,4577078,5174724,"BC"
"28",2021-10-22,"bc",4119650.82628738,3891358.12070168,635.586544468999,2884.51769170025,3520.10423616925,4577078,5174724,"BC"
"29",2021-10-23,"bc",4119032.39234042,3888032.53746201,-618.433946959209,-3325.58323966991,-3944.01718662912,4577078,5174724,"BC"
"30",2021-10-24,"bc",4119640.34176244,3891231.81229341,607.949422022328,3199.27483139513,3807.22425341746,4577078,5174724,"BC"
"31",2021-10-25,"bc",4119047.27070517,3888453.57019963,-593.071057270281,-2778.24209378147,-3371.31315105176,4577078,5174724,"BC"
"32",2021-10-26,"bc",4119631.01869236,3891339.12321581,583.747987184208,2885.55301617971,3469.30100336391,4577078,5174724,"BC"
"33",2021-10-27,"bc",4119060.33984799,3888196.70666451,-570.678844367154,-3142.41655130265,-3713.09539566981,4577078,5174724,"BC"
"34",2021-10-28,"bc",4119622.65169616,3891269.09925396,562.311848166864,3072.39258945314,3634.70443762001,4577078,5174724,"BC"
"35",2021-10-29,"bc",4119071.9410028,3888438.76521114,-550.71069335239,-2830.33404281735,-3381.04473616974,4577078,5174724,"BC"
"36",2021-10-30,"bc",4119615.08368955,3891324.12712145,543.142686750274,2885.36191030871,3428.50459705899,4577078,5174724,"BC"
"37",2021-10-31,"bc",4119082.3311782,3888321.79724533,-532.752511350438,-3002.32987612253,-3535.08238747297,4577078,5174724,"BC"
"38",2021-11-01,"bc",4119608.19204451,3891291.89538918,525.860866305418,2970.09814384812,3495.95901015354,4577078,5174724,"BC"
"39",2021-11-02,"bc",4119091.70823221,3888446.09186661,-516.483812297694,-2845.80352256494,-3362.28733486263,4577078,5174724,"BC"
"40",2021-11-03,"bc",4119601.87934412,3891315.94417121,510.171111908276,2869.85230459785,3380.02341650613,4577078,5174724,"BC"
"41",2021-11-04,"bc",4119100.22735967,3888409.72449867,-501.651984454133,-2906.21967253927,-3407.8716569934,4577078,5174724,"BC"
"42",2021-11-05,"bc",4119596.06702166,3891303.72358853,495.839661990758,2893.9990898571,3389.83875184786,4577078,5174724,"BC"
"43",2021-11-06,"bc",4119108.0122734,3888471.30431668,-488.054748258088,-2832.41927185003,-3320.47402010811,4577078,5174724,"BC"
"44",2021-11-07,"bc",4119590.69087135,3891312.8711143,482.678597952705,2841.56679762667,3324.24539557938,4577078,5174724,"BC"
"45",2021-11-08,"bc",4119115.16299091,3888471.48017152,-475.527880439535,-2841.39094278682,-3316.91882322636,4577078,5174724,"BC"
"46",2021-11-09,"bc",4119585.69780945,3891309.15414618,470.534818537533,2837.67397465929,3308.20879319683,4577078,5174724,"BC"
"47",2021-11-10,"bc",4119121.7613836,3888504.9458789,-463.93642584607,-2804.20826727385,-3268.14469311992,4577078,5174724,"BC"
"48",2021-11-11,"bc",4119581.04349161,3891312.27585696,459.28210800793,2807.32997805998,3266.61208606791,4577078,5174724,"BC"
"49",2021-11-12,"bc",4119127.87521231,3888517.93663662,-453.168279299978,-2794.3392203385,-3247.50749963848,4577078,5174724,"BC"
"50",2021-11-13,"bc",4119576.69052995,3891311.43559063,448.815317638684,2793.4989540088,3242.31427164748,4577078,5174724,"BC"
"51",2021-11-14,"bc",4119133.5611151,3888540.13062602,-443.12941485364,-2771.30496461038,-3214.43437946402,4577078,5174724,"BC"
"52",2021-11-15,"bc",4119572.60713824,3891312.41021663,439.046023144387,2772.27959060576,3211.32561375014,4577078,5174724,"BC"
"53",2021-11-16,"bc",4119138.86685489,3888556.02209027,-433.74028335046,-2756.38812636072,-3190.12840971118,4577078,5174724,"BC"
"54",2021-11-17,"bc",4119568.76608826,3891312.28156438,429.899233371951,2756.25947411172,3186.15870748367,4577078,5174724,"BC"
"55",2021-11-18,"bc",4119143.83303476,3888573.64679951,-424.93305350421,-2738.6347648669,-3163.56781837111,4577078,5174724,"BC"
"56",2021-11-19,"bc",4119565.1438958,3891312.51594237,421.310861041769,2738.86914285785,3160.18000389962,4577078,5174724,"BC"
"57",2021-11-20,"bc",4119148.49442391,3888589.18802186,-416.649471891113,-2723.32792050997,-3139.97739240108,4577078,5174724,"BC"
"58",2021-11-21,"bc",4119561.72017859,3891312.43957745,413.225754687097,2723.25155559415,3136.47731028125,4577078,5174724,"BC"
"59",2021-11-22,"bc",4119152.88099489,3888604.56081061,-408.839183707256,-2707.87876684126,-3116.71795054851,4577078,5174724,"BC"
"60",2021-11-23,"bc",4119558.47714471,3891312.38069425,405.59614982456,2707.81988363387,3113.41603345843,4577078,5174724,"BC"
"61",2021-11-24,"bc",4119157.01874358,3888618.98485457,-401.458401130047,-2693.39583968092,-3094.85424081096,4577078,5174724,"BC"
"62",2021-11-25,"bc",4119555.39918098,3891312.21003786,398.380437393207,2693.22518329974,3091.60562069295,4577078,5174724,"BC"
"63",2021-11-26,"bc",4119160.93034389,3888632.88665621,-394.468837088905,-2679.32338165306,-3073.79221874196,4577078,5174724,"BC"
"64",2021-11-27,"bc",4119552.47251905,3891311.99640951,391.542175165378,2679.1097533009,3070.65192846628,4577078,5174724,"BC"
"65",2021-11-28,"bc",4119164.6356751,3888646.15676271,-387.836843951605,-2665.83964680322,-3053.67649075482,4577078,5174724,"BC"
"66",2021-11-29,"bc",4119549.68496236,3891311.72284626,385.049287257716,2665.56608355558,3050.61537081329,4577078,5174724,"BC"
"67",2021-11-30,"bc",4119168.15225033,3888658.90385322,-381.532712026499,-2652.81899304781,-3034.35170507431,4577078,5174724,"BC"
"68",2021-12-01,"bc",4119547.02566106,3891311.40587157,378.873410732485,2652.50201835623,3031.37542908872,4577078,5174724,"BC"
"69",2021-12-02,"bc",4119171.49556717,3888671.14100096,-375.53009389108,-2640.26487061335,-3015.79496450443,4577078,5174724,"BC"
"70",2021-12-03,"bc",4119544.48492545,3891311.04744643,372.989358278457,2639.90644547204,3012.89580375049,4577078,5174724,"BC"
"71",2021-12-04,"bc",4119174.6793968,3888682.91320923,-369.805528647732,-2628.13423720375,-2997.93976585148,4577078,5174724,"BC"
"72",2021-12-05,"bc",4119542.0540701,3891310.65399711,367.374673299491,2627.74078788329,2995.11546118278,4577078,5174724,"BC"
"73",2021-12-06,"bc",4119177.71602391,3888694.24837153,-364.338046192657,-2616.40562558174,-2980.7436717744,4577078,5174724,"BC"
"74",2021-12-07,"bc",4119539.72528305,3891310.2293747,362.009259143379,2615.98100317176,2977.99026231514,4577078,5174724,"BC"
"75",2021-12-08,"bc",4119180.61644704,3888705.17641007,-359.108836018015,-2605.05296463612,-2964.16180065414,4577078,5174724,"BC"
"76",2021-12-09,"bc",4119537.49151529,3891309.77757243,356.875068256166,2604.6011623675,2961.47623062367,4577078,5174724,"BC"
"77",2021-12-10,"bc",4119183.39054685,3888715.72280677,-354.100968446583,-2594.05476566171,-2948.1557341083,4577078,5174724,"BC"
"78",2021-12-11,"bc",4119535.34638696,3891309.30187492,351.955840117298,2593.57906814618,2945.53490826348,4577078,5174724,"BC"
"79",2021-12-12,"bc",4119186.04722822,3888725.91133077,-349.299158739392,-2583.39054414397,-2932.68970288336,4577078,5174724,"BC"
"80",2021-12-13,"bc",4119533.28410735,3891308.80524313,347.236879129428,2582.89391235169,2930.13079148112,4577078,5174724,"BC"
"81",2021-12-14,"bc",4119188.59454088,3888735.76347973,-344.689566475339,-2573.04176339181,-2917.73132986715,4577078,5174724,"BC"
"82",2021-12-15,"bc",4119531.29940632,3891308.29026389,342.70486544678,2572.52678415878,2915.23164960556,4577078,5174724,"BC"
"83",2021-12-16,"bc",4119191.03978219,3888745.29898392,-340.259624130093,-2562.99127997458,-2903.25090410467,4577078,5174724,"BC"
"84",2021-12-17,"bc",4119529.3874753,3891307.75923067,338.347693101503,2562.46024675667,2900.80793985818,4577078,5174724,"BC"
"85",2021-12-18,"bc",4119193.38958536,3888754.5359181,-335.997889938764,-2553.22331256978,-2889.22120250855,4577078,5174724,"BC"
"86",2021-12-19,"bc",4119527.54391624,3891307.21417255,334.154330882709,2552.67825444741,2886.83258533012,4577078,5174724,"BC"
"87",2021-12-20,"bc",4119195.64999516,3888763.49090206,-331.893921083771,-2543.72327049216,-2875.61719157593,4577078,5174724,"BC"
"88",2021-12-21,"bc",4119525.76469743,3891306.65689107,330.11470227642,2543.16598901479,2873.28069129121,4577078,5174724,"BC"
"89",2021-12-22,"bc",4119197.82653348,3888772.17924354,-327.938163951505,-2534.47764753597,-2862.41581148747,4577078,5174724,"BC"
"90",2021-12-23,"bc",4119524.04611492,3891306.08898808,326.219581438694,2533.90974454349,2860.12932598218,4577078,5174724,"BC"
"91",2021-12-24,"bc",4119199.92425611,3888780.61507288,-324.121858811006,-2525.47391519742,-2849.59577400843,4577078,5174724,"BC"
"92",2021-12-25,"bc",4119522.38475885,3891305.51189059,322.460502738599,2524.89681770932,2847.35732044792,4577078,5174724,"BC"
"93",2021-12-26,"bc",4119201.94780213,3888788.81145848,-320.436956720427,-2516.70043211337,-2837.1373888338,4577078,5174724,"BC"
"94",2021-12-27,"bc",4119520.77748394,3891304.92687192,318.829681813251,2516.1154134376,2834.94509525085,4577078,5174724,"BC"
"95",2021-12-28,"bc",4119203.9014371,3888796.78050919,-316.876046843361,-2508.14636272471,-2825.02240956808,4577078,5174724,"BC"
"96",2021-12-29,"bc",4119519.22138354,3891304.33506995,315.319946443196,2507.55456075259,2822.87450719578,4577078,5174724,"BC"
"97",2021-12-30,"bc",4119205.78909087,3888804.53346467,-313.432292670943,-2499.8016052735,-2813.23389794445,4577078,5174724,"BC"
"98",2021-12-31,"bc",4119517.7137667,3891303.73750296,311.924675833434,2499.20403828891,2811.12871412234,4577078,5174724,"BC"
"99",2022-01-01,"bc",4119207.61439082,3888812.0807754,-310.099375879858,-2491.65672755707,-2801.75610343693,4577078,5174724,"BC"
"100",2022-01-02,"bc",4119516.25213793,3891303.13508337,308.637747112196,2491.05430796323,2799.69205507543,4577078,5174724,"BC"
"101",2021-09-25,"ab",3203286.5,2766273,NA,NA,NA,3761125,4444277,"AB"
"102",2021-09-26,"ab",3221546.25,2772519.19654565,18259.75,6246.19654564839,24505.9465456484,3761125,4444277,"AB"
"103",2021-09-27,"ab",3239704.09889599,2778768.07450681,18157.8488959903,6248.87796116434,24406.7268571546,3761125,4444277,"AB"
"104",2021-09-28,"ab",3257736.79497219,2785019.41320963,18032.6960762013,6251.33870281465,24284.0347790159,3761125,4444277,"AB"
"105",2021-09-29,"ab",3275612.34103849,2791273.01157628,17875.5460663005,6253.59836665029,24129.1444329508,3761125,4444277,"AB"
"106",2021-09-30,"ab",3293285.1049882,2797528.68335923,17672.7639497072,6255.67178295273,23928.4357326599,3761125,4444277,"AB"
"107",2021-10-01,"ab",3310687.06184669,2803786.2519096,17401.9568584869,6257.56855036691,23659.5254088538,3761125,4444277,"AB"
"108",2021-10-02,"ab",3327710.93495245,2810045.54339391,17023.8731057686,6259.29148431122,23283.1645900798,3761125,4444277,"AB"
"109",2021-10-03,"ab",3344174.64994742,2816306.37608485,16463.7149949628,6260.8326909407,22724.5476859035,3761125,4444277,"AB"
"110",2021-10-04,"ab",3359737.05719304,2822568.53956775,15562.4072456188,6262.16348289745,21824.5707285162,3761125,4444277,"AB"
"111",2021-10-05,"ab",3373665.42632791,2828831.74477893,13928.3691348708,6263.2052111784,20191.5743460492,3761125,4444277,"AB"
"112",2021-10-06,"ab",3384073.62638065,2835095.47385296,10408.200052741,6263.7290740367,16671.9291267777,3761125,4444277,"AB"
"113",2021-10-07,"ab",3385784.29454809,2841358.51822607,1710.66816744627,6263.04437311133,7973.71254055761,3761125,4444277,"AB"
"114",2021-10-08,"ab",3384105.95484934,2847620.36614134,-1678.33969874959,6261.8479152699,4583.50821652031,3761125,4444277,"AB"
"115",2021-10-09,"ab",3385762.795412,2853881.47255201,1656.84056265093,6261.10641067009,7917.94697332103,3761125,4444277,"AB"
"116",2021-10-10,"ab",3384135.16558626,2860141.30333939,-1627.62982573779,6259.83078737464,4632.20096163685,3761125,4444277,"AB"
"117",2021-10-11,"ab",3385743.08431535,2866400.33002194,1607.91872909013,6259.02668254776,7866.94541163789,3761125,4444277,"AB"
"118",2021-10-12,"ab",3384161.73121816,2872657.99254829,-1581.3530971841,6257.66252635419,4676.3094291701,3761125,4444277,"AB"
"119",2021-10-13,"ab",3385724.920943,2878914.78160375,1563.18972483324,6256.7890554592,7819.97878029244,3761125,4444277,"AB"
"120",2021-10-14,"ab",3384186.02944267,2885170.10721888,-1538.89150032308,6255.32561513502,4716.43411481194,3761125,4444277,"AB"
"121",2021-10-15,"ab",3385708.10850125,2891424.48208547,1522.07905857498,6254.37486658711,7776.45392516209,3761125,4444277,"AB"
"122",2021-10-16,"ab",3384208.36628773,2897677.28179984,-1499.74221351976,6252.7997143697,4753.05750084994,3761125,4444277,"AB"
"123",2021-10-17,"ab",3385692.48398873,2903929.04420667,1484.11770099681,6251.76240683021,7735.88010782702,3761125,4444277,"AB"
"124",2021-10-18,"ab",3384228.99274727,2910179.1052818,-1463.49124145927,6250.06107512768,4786.56983366841,3761125,4444277,"AB"
"125",2021-10-19,"ab",3385677.9110178,2916428.0315546,1448.91827053251,6248.92627280625,7697.84454333875,3761125,4444277,"AB"
"126",2021-10-20,"ab",3384248.11691748,2922675.11335244,-1429.79410032229,6247.08179783495,4817.28769751266,3761125,4444277,"AB"
"127",2021-10-21,"ab",3385664.27442818,2928920.94989934,1416.15751070017,6245.83654689929,7661.99405759946,3761125,4444277,"AB"
"128",2021-10-22,"ab",3384265.91300741,2935164.77878813,-1398.36142077018,6243.82888879441,4845.46746802423,3761125,4444277,"AB"
"129",2021-10-23,"ab",3385651.47618414,2941407.23653777,1385.56317673065,6242.45774963219,7628.02092636283,3761125,4444277,"AB"
"130",2021-10-24,"ab",3384282.52813457,2947647.49958488,-1368.94804957183,6240.26304711122,4871.31499753939,3761125,4444277,"AB"
"131",2021-10-25,"ab",3385639.4322071,2953886.24707197,1356.90407253383,6238.7474870896,7595.65155962342,3761125,4444277,"AB"
"132",2021-10-26,"ab",3384298.08752267,2960122.58415999,-1341.3446844304,6236.33708801959,4894.99240358919,3761125,4444277,"AB"
"133",2021-10-27,"ab",3385628.06990033,2966357.23884471,1329.98237766093,6234.65468472801,7564.63706238894,3761125,4444277,"AB"
"134",2021-10-28,"ab",3384312.69852811,2972589.23271397,-1315.37137221871,6231.9938692553,4916.62249703659,3761125,4444277,"AB"
"135",2021-10-29,"ab",3385617.32619304,2978819.34996635,1304.62766492367,6230.11725238338,7534.74491730705,3761125,4444277,"AB"
"136",2021-10-30,"ab",3384326.45379531,2985046.5134945,-1290.87239772081,6227.16352815088,4936.29113043007,3761125,4444277,"AB"
"137",2021-10-31,"ab",3385607.14597918,2991271.57244968,1280.69218386337,6225.05895517999,7505.75113904336,3761125,4444277,"AB"
"138",2021-11-01,"ab",3384339.43375561,2997493.33219699,-1267.71222356753,6221.75974731008,4954.04752374254,3761125,4444277,"AB"
"139",2021-11-02,"ab",3385597.48085979,3003712.71735419,1258.04710417613,6219.38515720004,7477.43226137618,3761125,4444277,"AB"
"140",2021-11-03,"ab",3384351.70862542,3009928.39198102,-1245.77223436953,6215.67462682724,4969.9023924577,3761125,4444277,"AB"
"141",2021-11-04,"ab",3385588.2881211,3016141.36891637,1236.57949568471,6212.97693534568,7449.55643103039,3761125,4444277,"AB"
"142",2021-11-05,"ab",3384363.34001828,3022350.14043454,-1224.94810282579,6208.77151817549,4983.8234153497,3761125,4444277,"AB"
"143",2021-11-06,"ab",3385579.5298978,3028555.82322265,1216.18987951986,6205.68278810987,7421.87266762974,3761125,4444277,"AB"
"144",2021-11-07,"ab",3384374.38225606,3034756.69803339,-1205.14764173748,6200.87481073663,4995.72716899915,3761125,4444277,"AB"
"145",2021-11-08,"ab",3385571.17248275,3040954.00474661,1196.79022669233,6197.30671321647,7394.09693990881,3761125,4444277,"AB"
"146",2021-11-09,"ab",3384384.8834436,3047145.75979616,-1186.28903915361,6191.75504955696,5005.46601040335,3761125,4444277,"AB"
"147",2021-11-10,"ab",3385563.18575386,3053333.35045652,1178.3023102656,6187.59066035831,7365.89297062391,3761125,4444277,"AB"
"148",2021-11-11,"ab",3384394.88635564,3059514.45715613,-1168.29939821875,6181.10669960594,5012.80730138719,3761125,4444277,"AB"
"149",2021-11-12,"ab",3385555.54269504,3065690.64516899,1160.65633939533,6176.1880128663,7336.84435226163,3761125,4444277,"AB"
"150",2021-11-13,"ab",3384404.42917374,3071859.15912598,-1151.11352129839,6168.51395698683,5017.40043568844,3761125,4444277,"AB"
